Voltage (V)	Current (pA)
0.402	7.324
0.401	7.019
0.400	7.019
0.399	6.714
0.398	6.714
0.397	6.714
0.396	6.409
0.395	6.409
0.394	6.104
0.393	6.104
0.392	6.104
0.391	5.493
0.390	5.493
0.389	5.188
0.388	5.188
0.387	5.188
0.386	5.188
0.385	5.188
0.384	4.578
0.383	4.578
0.382	4.578
0.381	4.272
0.380	4.272
0.379	3.967
0.378	3.967
0.377	3.967
0.376	3.967
0.375	3.662
0.374	3.357
0.373	3.357
0.372	3.052
0.371	3.052
0.370	2.747
0.369	2.747
0.368	2.747
0.367	2.441
0.366	2.441
0.365	2.136
0.364	2.136
0.363	2.136
0.362	1.831
0.361	1.831
0.360	1.526
0.359	1.526
0.358	1.526
0.357	0.916
0.356	0.916
0.355	0.916
0.354	0.916
0.353	0.916
0.352	0.916
0.351	0.916
0.350	0.305
0.349	0.305
0.348	0.305
0.347	0.305
0.346	0.610
0.345	0.000
0.344	0.000
0.343	0.000
0.342	0.000
0.341	0.000
0.340	-0.305
0.339	-0.305
0.338	-0.610
0.337	-0.610
0.336	-0.305
0.335	-0.610
0.334	-0.610
0.333	-0.610
0.332	-0.610
0.331	-0.916
0.330	-0.916
0.329	-0.916
0.328	-1.221
0.327	-1.221
0.326	-0.916
0.325	-0.916
0.324	-1.221
0.323	-1.221
0.322	-1.221
0.321	-1.526
0.320	-1.526
0.319	-1.221
0.318	-1.221
0.317	-1.526
0.316	-1.526
0.315	-1.526
0.314	-1.526
0.313	-1.526
0.312	-1.221
0.311	-1.526
0.310	-1.526
0.309	-1.526
0.308	-1.526
0.307	-1.526
0.306	-1.831
0.305	-1.831
0.304	-1.831
0.303	-1.831
0.302	-1.526
0.301	-1.831
0.300	-1.831
0.299	-1.831
0.298	-1.831
0.297	-1.831
0.296	-1.831
0.295	-1.831
0.294	-2.136
0.293	-2.136
0.292	-1.831
0.291	-1.831
0.290	-1.831
0.289	-2.136
0.288	-2.136
0.287	-1.831
0.286	-1.831
0.285	-1.831
0.284	-1.831
0.283	-1.831
0.282	-2.136
0.281	-2.136
0.280	-1.831
0.279	-1.831
0.278	-1.831
0.277	-1.831
0.276	-1.831
0.275	-2.136
0.274	-2.136
0.273	-1.831
0.272	-1.831
0.271	-1.831
0.270	-2.136
0.269	-2.136
0.268	-1.831
0.267	-1.831
0.266	-1.831
0.265	-2.136
0.264	-2.136
0.263	-1.831
0.262	-1.831
0.261	-1.831
0.260	-1.831
0.259	-1.831
0.258	-1.831
0.257	-1.831
0.256	-1.831
0.255	-2.136
0.254	-2.136
0.253	-1.831
0.252	-1.831
0.251	-1.831
0.250	-1.831
0.249	-1.831
0.248	-1.831
0.247	-1.831
0.246	-1.831
0.245	-1.831
0.244	-1.831
0.243	-1.831
0.242	-1.831
0.241	-1.831
0.240	-1.831
0.239	-1.526
0.238	-1.831
0.237	-1.831
0.236	-1.831
0.235	-1.831
0.234	-1.526
0.233	-1.526
0.232	-1.526
0.231	-1.831
0.230	-1.831
0.229	-1.831
0.228	-1.831
0.227	-1.526
0.226	-1.831
0.225	-1.831
0.224	-1.831
0.223	-1.831
0.222	-1.526
0.221	-1.526
0.220	-1.526
0.219	-1.831
0.218	-1.831
0.217	-1.526
0.216	-1.526
0.215	-1.526
0.214	-1.526
0.213	-1.526
0.212	-1.526
0.211	-1.526
0.210	-1.526
0.209	-1.526
0.208	-1.526
0.207	-1.526
0.206	-1.526
0.205	-1.526
0.204	-1.526
0.203	-1.526
0.202	-1.526
0.201	-1.526
0.200	-1.526
0.199	-1.526
0.198	-1.526
0.197	-1.526
0.196	-1.526
0.195	-1.831
0.194	-1.831
0.193	-1.526
0.192	-1.526
0.191	-1.526
0.190	-1.526
0.189	-1.526
0.188	-1.221
0.187	-1.526
0.186	-1.526
0.185	-1.526
0.184	-1.526
0.183	-1.526
0.182	-1.221
0.181	-1.221
0.180	-1.526
0.179	-1.526
0.178	-1.526
0.177	-1.526
0.176	-1.526
0.175	-1.526
0.174	-1.526
0.173	-1.221
0.172	-1.221
0.171	-1.221
0.170	-1.221
0.169	-1.221
0.168	-1.221
0.167	-1.221
0.166	-1.526
0.165	-1.526
0.164	-1.221
0.163	-1.526
0.162	-1.526
0.161	-1.526
0.160	-1.526
0.159	-1.221
0.158	-1.221
0.157	-1.221
0.156	-1.526
0.155	-1.526
0.154	-1.221
0.153	-1.221
0.152	-1.221
0.151	-1.221
0.150	-1.221
0.149	-1.221
0.148	-1.221
0.147	-1.221
0.146	-1.526
0.145	-1.526
0.144	-1.221
0.143	-1.221
0.142	-1.221
0.141	-1.221
0.140	-1.221
0.139	-1.221
0.138	-1.221
0.137	-0.916
0.136	-1.221
0.135	-1.221
0.134	-1.221
0.133	-1.221
0.132	-0.916
0.131	-0.916
0.130	-0.916
0.129	-1.221
0.128	-1.221
0.127	-0.916
0.126	-0.916
0.125	-0.916
0.124	-1.221
0.123	-1.221
0.122	-1.221
0.121	-1.221
0.120	-0.916
0.119	-0.916
0.118	-0.916
0.117	-1.221
0.116	-1.221
0.115	-1.221
0.114	-0.916
0.113	-0.916
0.112	-1.221
0.111	-1.221
0.110	-0.916
0.109	-0.916
0.108	-0.916
0.107	-1.221
0.106	-1.221
0.105	-0.916
0.104	-0.916
0.103	-0.916
0.102	-1.221
0.101	-1.221
0.100	-1.221
0.099	-1.221
0.100	-0.916
0.101	-0.305
0.102	-0.305
0.103	0.916
0.104	0.916
0.105	0.610
0.106	0.610
0.107	0.610
0.108	0.916
0.109	0.916
0.110	0.916
0.111	0.916
0.112	0.916
0.113	0.916
0.114	0.916
0.115	0.916
0.116	0.916
0.117	0.610
0.118	0.610
0.119	0.610
0.120	0.916
0.121	0.916
0.122	0.916
0.123	0.916
0.124	0.610
0.125	0.916
0.126	0.916
0.127	0.916
0.128	0.916
0.129	0.610
0.130	0.916
0.131	0.916
0.132	0.916
0.133	0.916
0.134	0.610
0.135	0.610
0.136	0.916
0.137	0.916
0.138	0.916
0.139	0.916
0.140	0.916
0.141	0.916
0.142	0.916
0.143	0.916
0.144	0.916
0.145	0.916
0.146	0.610
0.147	0.916
0.148	0.916
0.149	0.916
0.150	0.916
0.151	0.916
0.152	0.916
0.153	0.916
0.154	0.916
0.155	0.916
0.156	0.916
0.157	0.916
0.158	0.610
0.159	0.916
0.160	0.916
0.161	0.916
0.162	0.916
0.163	0.610
0.164	0.916
0.165	0.916
0.166	0.916
0.167	0.916
0.168	0.916
0.169	0.916
0.170	0.916
0.171	0.916
0.172	0.916
0.173	0.916
0.174	0.916
0.175	0.610
0.176	0.916
0.177	0.916
0.178	0.916
0.179	0.916
0.180	0.610
0.181	0.916
0.182	0.916
0.183	1.221
0.184	1.221
0.185	0.916
0.186	0.916
0.187	0.610
0.188	0.916
0.189	0.916
0.190	0.916
0.191	0.916
0.192	0.610
0.193	0.916
0.194	0.916
0.195	0.916
0.196	0.916
0.197	0.916
0.198	1.221
0.199	1.221
0.200	0.916
0.201	0.916
0.202	0.916
0.203	0.916
0.204	0.916
0.205	0.916
0.206	0.916
0.207	0.916
0.208	0.916
0.209	0.916
0.210	1.221
0.211	1.221
0.212	0.916
0.213	0.916
0.214	0.916
0.215	0.916
0.216	0.916
0.217	0.916
0.218	0.916
0.219	0.916
0.220	0.916
0.221	0.916
0.222	0.916
0.223	0.916
0.224	0.916
0.225	0.916
0.226	0.916
0.227	1.221
0.228	1.221
0.229	1.221
0.230	1.221
0.231	0.916
0.232	0.916
0.233	0.916
0.234	0.916
0.235	0.916
0.236	0.916
0.237	0.916
0.238	0.916
0.239	1.221
0.240	1.221
0.241	0.916
0.242	0.916
0.243	0.916
0.244	0.916
0.245	0.916
0.246	1.221
0.247	1.221
0.248	0.916
0.249	0.916
0.250	0.916
0.251	0.916
0.252	0.916
0.253	0.916
0.254	0.916
0.255	0.916
0.256	0.916
0.257	0.916
0.258	0.916
0.259	0.916
0.260	0.916
0.261	1.221
0.262	1.221
0.263	1.221
0.264	1.221
0.265	0.916
0.266	0.916
0.267	0.916
0.268	1.221
0.269	1.221
0.270	0.916
0.271	0.916
0.272	0.916
0.273	1.221
0.274	1.221
0.275	1.221
0.276	0.916
0.277	0.916
0.278	1.221
0.279	1.221
0.280	1.221
0.281	1.221
0.282	0.916
0.283	1.221
0.284	1.221
0.285	1.526
0.286	1.526
0.287	1.221
0.288	1.221
0.289	1.221
0.290	1.526
0.291	1.526
0.292	1.221
0.293	1.221
0.294	1.221
0.295	1.526
0.296	1.526
0.297	1.526
0.298	1.526
0.299	1.526
0.300	1.526
0.301	1.526
0.302	1.831
0.303	1.831
0.304	1.831
0.305	1.831
0.306	1.526
0.307	1.831
0.308	1.831
0.309	1.831
0.310	1.831
0.311	1.831
0.312	2.136
0.313	2.136
0.314	2.136
0.315	2.136
0.316	1.831
0.317	2.136
0.318	2.136
0.319	2.136
0.320	2.136
0.321	2.136
0.322	2.136
0.323	2.441
0.324	2.441
0.325	2.441
0.326	2.441
0.327	2.441
0.328	2.441
0.329	2.747
0.330	2.747
0.331	2.747
0.332	2.747
0.333	2.747
0.334	3.052
0.335	3.052
0.336	3.052
0.337	3.052
0.338	3.052
0.339	3.357
0.340	3.357
0.341	3.662
0.342	3.662
0.343	3.662
0.344	3.662
